url,category
https://www.newsday.co.zw/business/article/200041536/kavango-finds-promising-results-from-hillside-exploration,Business
https://www.newsday.co.zw/business/article/200041570/czi-concerned-over-very-high-annual-inflation-rate,Business
https://www.newsday.co.zw/business/article/200041547/ok-says-us30m-capital-raise-at-advanced-stage,Business
https://www.newsday.co.zw/business/article/200041546/african-sun-to-offload-us15m-hotel-by-june-30,Arts/Culture
https://www.newsday.co.zw/business/article/200041378/mno-revenue-up-888-in-2024-q4,Business
https://www.newsday.co.zw/politics/article/40664/eu8217s-barnier-says-just-hours-left-for-a-brexit-trade-deal,Business
https://www.newsday.co.zw/politics/article/40945/guinea-ministers-8216to-declare-assets-to-curb-corruption8217,Sports
https://www.newsday.co.zw/politics/article/45039/bail-hearing-for-mdc-youth-leader-deferred,Business
https://www.newsday.co.zw/politics/article/45396/i-am-following-the-constitution-in-recalling-mps-mudenda,Business
https://www.newsday.co.zw/politics/article/45411/chaos-rocks-mdc-t,Business
https://www.newsday.co.zw/life-amp-style/article/200041530/mlalazi-presents-inaugural-ekhaya-worship-festival,Arts/Culture
https://www.newsday.co.zw/life-amp-style/article/200041442/madzibaba-echoes-botswana-gathering-delight,Sports
https://www.newsday.co.zw/life-amp-style/article/200041375/fombe-composes-progressive-jazz-through-stone,Business
https://www.newsday.co.zw/life-amp-style/article/200041347/eunic-zimbabwe-presents-harmonies-of-expression-connecting-art-heart-and-science,Arts/Culture
https://www.newsday.co.zw/life-amp-style/article/200041346/makore-on-cloud-9-with-soulful-ariko-wani,Arts/Culture
https://www.newsday.co.zw/sport/article/200041555/alexander-arnold-to-leave-liverpool-at-end-of-season,Sports
https://www.newsday.co.zw/sport/article/200041550/dembare-fail-scottish-test,Sports
https://www.newsday.co.zw/sport/article/200041549/im-sorry-kawe-benza,Arts/Culture
https://www.newsday.co.zw/sport/article/200041551/four-zim-golfers-tame-fbc-zim-open-pre-qualifier,Arts/Culture
https://www.newsday.co.zw/sport/article/200041548/mwos-back-on-top,Sports
https://www.thestandard.co.zw/business/article/200041215/us-markets-rally-amid-trade-hopes-but-volatility-and-risk-premiums-remain-elevated,Business
